generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,num_attacks
276,111432.000000,88570.000000,22,11362.101558,91338647.542609,30.209454,1.001351,6,2,4,107
277,108221.000000,91781.000000,18,10102.487726,70914313.288712,32.074143,0.751776,6,2,4,105
278,127044.000000,72958.000000,32,13474.938517,123510628.710165,28.441597,0.950863,6,2,4,105
279,127714.000000,72288.000000,27,9087.355608,68877675.491494,28.181185,0.819640,6,2,4,115
280,122540.000000,77462.000000,27,7913.579438,42586520.288579,32.797915,0.662697,6,2,4,99
281,133854.000000,66148.000000,30,8123.765244,61232741.596717,30.275513,0.766858,6,2,4,104
282,126428.000000,73574.000000,34,6409.501265,20099725.222683,28.354043,0.839890,6,2,4,92
283,116945.000000,83057.000000,25,4276.718611,10996270.098178,34.097713,0.660241,6,2,4,92
284,113775.000000,86227.000000,22,7188.162991,26092474.845024,32.957462,0.746005,6,2,4,102
285,121842.000000,78160.000000,23,2919.592579,5535264.450222,35.805777,0.599568,5,2,4,100
286,132411.000000,67591.000000,31,2540.821825,4721192.715366,32.208059,0.710976,5,2,4,96
287,114161.000000,85841.000000,27,1815.391894,1344035.415420,35.127610,0.565227,5,2,4,93
288,119898.000000,80104.000000,28,3995.841565,8200042.868020,32.646900,0.583889,5,2,4,95
289,126449.000000,73553.000000,34,5775.070235,21646047.367206,32.990555,0.660826,5,2,4,82
290,120988.000000,79014.000000,31,2005.348636,1167716.465560,32.484815,0.641781,5,2,4,90
291,122149.000000,77853.000000,26,3894.733682,14138683.097830,32.546511,0.679752,5,2,4,99
292,122680.000000,77322.000000,23,3943.417900,11553515.056615,34.085108,0.520440,5,2,4,96
293,135102.000000,64900.000000,39,1566.722926,1129876.047244,29.535898,0.832294,6,2,4,95
294,138007.000000,61995.000000,39,1462.300265,1203062.348082,31.096583,0.658214,6,2,4,90
295,115509.000000,84493.000000,23,6969.312880,27819424.250072,31.848676,0.651071,6,2,4,96
296,130876.000000,69126.000000,34,5967.971702,24202763.889034,29.158405,0.967784,6,2,4,101
297,113513.000000,86489.000000,25,3433.192728,5061357.788937,35.748105,0.574189,6,2,4,88
298,109254.000000,90748.000000,20,3091.140485,3005923.961673,34.708678,0.575403,6,2,4,101
299,120483.000000,79519.000000,24,3140.637596,5033209.398441,32.056246,0.703614,6,2,4,111
300,118778.000000,81224.000000,28,2460.822533,3086434.273466,32.762707,0.734364,6,2,4,97
301,128796.000000,71206.000000,33,2736.875216,6494188.496213,30.930459,0.814837,6,2,4,92
302,115868.000000,84134.000000,26,3032.716460,5878129.396657,35.491319,0.507292,6,2,4,88
303,124459.000000,75543.000000,28,2378.352474,2920756.389298,33.562092,0.651153,6,2,4,93
304,109727.000000,90275.000000,17,11136.330044,69846928.924379,33.733010,0.727361,6,2,4,109
305,129567.000000,70435.000000,30,3416.215658,8832565.302460,30.019182,0.766821,6,2,4,83
306,123894.000000,76108.000000,32,4376.689981,11292587.033700,31.153697,0.747724,6,2,4,90
307,129290.000000,70712.000000,27,7245.812517,66771367.422221,30.336546,0.815936,6,2,4,101
308,122811.000000,77191.000000,26,3880.226601,7647189.084021,31.767745,0.791677,6,2,4,101
309,128336.000000,71666.000000,31,3279.709860,8716355.290708,30.487173,0.851490,6,2,4,100
310,135153.000000,64849.000000,36,4132.297356,11480594.020339,29.056767,0.843288,6,2,4,95
311,119022.000000,80980.000000,27,3886.366474,4606485.897510,31.008254,0.909139,6,2,4,103
312,124982.000000,75020.000000,30,2390.223194,2195989.880409,30.766409,0.913271,6,2,4,101
313,125510.000000,74492.000000,34,3108.514634,5984357.135716,29.697858,0.959564,6,2,4,85
